usuario_id,mes_referencia,renda_mensal,total_despesas,percentual_renda_comprometida,nivel_endividamento_pct,taxa_poupanca_pct,percentual_despesas_fixas,percentual_gastos_nao_essenciais,quantidade_despesas_recorrentes,quantidade_transacoes_despesa,variacao_despesas_pct,reserva_em_meses,score_financeiro,perfil_financeiro,confianca_perfil,fatores_risco,fatores_positivos,regra_rotulacao,split,fonte
USR000024,2025-07,3573.51,2102.96,58.85,6.13,18.23,31.15,35.27,3,9,0.0,16.97,100.0,SAUDAVEL,0.9414,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000025,2025-07,3133.76,2005.78,64.01,9.03,20.37,42.19,43.31,2,9,0.0,17.9,100.0,SAUDAVEL,0.9065,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000026,2025-07,1716.66,1053.79,61.39,0.0,12.97,42.75,20.84,1,5,0.0,12.9,100.0,SAUDAVEL,0.9253,nenhum_relevante,despesas_controladas|baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000027,2025-07,2268.63,1852.46,81.66,29.13,7.53,76.15,21.88,1,5,0.0,1.37,65.0,EM_OBSERVACAO,0.7316,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000028,2025-07,8728.17,7662.65,87.79,24.6,4.06,50.74,49.26,0,4,0.0,5.42,51.0,EM_OBSERVACAO,0.5503,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_altos,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000029,2025-07,3158.91,2647.47,83.81,29.08,4.78,49.44,24.57,3,5,0.0,3.81,73.0,EM_OBSERVACAO,0.6104,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000030,2025-07,8201.29,7641.69,93.18,35.39,3.02,46.79,20.97,7,10,0.0,4.29,61.0,EM_OBSERVACAO,0.712,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000031,2025-07,4429.41,3069.43,69.3,43.6,4.45,44.77,43.7,2,9,0.0,4.69,62.0,EM_OBSERVACAO,0.7493,endividamento_alto|baixa_taxa_poupanca|gastos_nao_essenciais_altos,despesas_controladas|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000032,2025-07,3271.39,2968.81,90.75,59.18,3.33,36.04,24.66,6,9,0.0,0.12,35.0,EM_RISCO,0.8124,renda_muito_comprometida|endividamento_alto|baixa_taxa_poupanca|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000033,2025-07,3993.53,3922.38,98.22,78.42,3.19,67.6,5.29,4,8,0.0,0.09,25.0,EM_RISCO,0.9771,renda_muito_comprometida|endividamento_muito_alto|baixa_taxa_poupanca|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000034,2025-07,6969.64,3983.91,57.16,14.14,11.31,43.91,5.87,3,7,0.0,8.14,100.0,SAUDAVEL,0.8848,nenhum_relevante,despesas_controladas|baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000035,2025-07,8513.77,7831.92,91.99,14.91,8.18,65.19,6.23,2,5,0.0,0.89,63.0,EM_OBSERVACAO,0.7573,renda_muito_comprometida|sem_reserva_adequada,baixo_endividamento|poupanca_regular,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000036,2025-07,4921.33,3484.57,70.81,4.86,13.15,38.08,50.12,4,12,0.0,18.81,85.0,SAUDAVEL,0.719,renda_comprometida|gastos_nao_essenciais_altos,baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000037,2025-07,2066.57,1571.72,76.05,30.12,9.18,18.15,48.99,2,6,0.0,4.7,71.0,EM_OBSERVACAO,0.5992,renda_comprometida|endividamento_moderado|gastos_nao_essenciais_altos,poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000038,2025-07,4615.41,4508.3,97.68,55.73,0.2,48.67,0.0,5,11,0.0,0.46,28.0,EM_RISCO,0.8956,renda_muito_comprometida|endividamento_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000039,2025-07,5178.36,3639.39,70.28,3.47,11.69,22.67,16.39,4,14,0.0,11.59,95.0,SAUDAVEL,0.8788,renda_comprometida,baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000040,2025-07,3799.37,2207.41,58.1,8.74,11.88,19.5,40.21,4,9,0.0,18.56,95.0,SAUDAVEL,0.8861,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000041,2025-07,7089.77,5105.51,72.01,17.83,5.89,35.91,22.78,2,8,0.0,4.4,82.0,SAUDAVEL,0.6519,renda_comprometida|baixa_taxa_poupanca,baixo_endividamento|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000042,2025-07,2990.33,2845.95,95.17,40.12,6.0,53.34,0.0,2,4,0.0,0.55,35.0,EM_RISCO,0.7783,renda_muito_comprometida|endividamento_alto|baixa_taxa_poupanca|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000043,2025-07,4746.91,3795.89,79.97,26.63,17.58,30.24,13.04,2,10,0.0,7.4,91.0,SAUDAVEL,0.8043,renda_comprometida|endividamento_moderado,boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000044,2025-07,4438.19,3989.42,89.89,28.3,5.24,45.61,54.39,3,7,0.0,1.25,43.0,EM_RISCO,0.7082,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa|gastos_nao_essenciais_altos,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000045,2025-07,2668.74,2445.02,91.62,30.8,4.33,63.18,26.32,3,8,0.0,3.32,56.0,EM_OBSERVACAO,0.6323,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_em_atencao,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000046,2025-07,6985.22,7720.73,110.53,43.6,2.94,71.25,2.01,4,8,0.0,0.97,15.0,EM_RISCO,0.944,despesas_acima_da_renda|endividamento_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000047,2025-07,5303.84,5265.69,99.28,20.76,8.2,49.22,25.28,2,10,0.0,0.64,49.0,EM_RISCO,0.5952,renda_muito_comprometida|endividamento_moderado|sem_reserva_adequada|gastos_nao_essenciais_em_atencao,poupanca_regular,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000048,2025-07,3845.39,3175.67,82.58,23.49,7.17,32.86,45.72,3,10,0.0,4.89,63.0,EM_OBSERVACAO,0.7272,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_altos,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000049,2025-07,7704.8,3904.77,50.68,12.49,16.95,67.22,3.66,3,6,0.0,11.3,100.0,SAUDAVEL,0.9569,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000050,2025-07,3446.61,2098.7,60.89,14.3,20.07,69.8,1.52,3,9,0.0,10.67,100.0,SAUDAVEL,0.9332,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000051,2025-07,4101.47,3153.45,76.89,22.35,6.08,62.22,19.8,2,8,0.0,2.01,65.0,EM_OBSERVACAO,0.7648,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000052,2025-07,3315.22,2263.02,68.26,12.26,21.08,14.56,32.09,2,4,0.0,14.78,100.0,SAUDAVEL,0.9153,gastos_nao_essenciais_em_atencao,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000053,2025-07,8372.0,5593.54,66.81,7.65,13.22,42.15,34.75,3,9,0.0,9.28,100.0,SAUDAVEL,0.9405,gastos_nao_essenciais_em_atencao,despesas_controladas|baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000054,2025-07,3090.93,3153.09,102.01,73.13,0.84,82.86,4.79,2,4,0.0,0.83,5.0,EM_RISCO,0.9539,despesas_acima_da_renda|endividamento_muito_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000055,2025-07,5165.63,4624.35,89.52,39.36,8.09,58.55,26.0,4,6,0.0,1.7,56.0,EM_OBSERVACAO,0.6362,renda_muito_comprometida|endividamento_moderado|reserva_baixa|gastos_nao_essenciais_em_atencao,poupanca_regular,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000056,2025-07,3795.12,3064.65,80.75,16.45,9.36,44.08,11.82,3,4,0.0,8.16,95.0,SAUDAVEL,0.8712,renda_comprometida,baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000057,2025-07,4757.59,4001.51,84.11,22.94,4.09,61.17,38.83,2,4,0.0,3.26,63.0,EM_OBSERVACAO,0.7226,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_altos,reserva_adequada,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000058,2025-07,7062.7,5437.71,76.99,26.18,3.86,40.16,28.91,4,10,0.0,5.28,68.0,EM_OBSERVACAO,0.6823,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_em_atencao,reserva_adequada,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000059,2025-07,3174.19,2073.91,65.34,0.0,13.22,71.48,12.48,4,5,0.0,5.73,100.0,SAUDAVEL,0.938,nenhum_relevante,despesas_controladas|baixo_endividamento|poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000060,2025-07,4067.49,3138.83,77.17,46.68,4.58,69.44,4.46,4,6,0.0,4.33,62.0,EM_OBSERVACAO,0.7543,renda_comprometida|endividamento_alto|baixa_taxa_poupanca,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000061,2025-07,1646.52,1475.24,89.6,25.41,4.37,30.74,25.94,2,6,0.0,3.85,56.0,EM_OBSERVACAO,0.6932,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_em_atencao,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000062,2025-07,9532.33,8426.04,88.39,32.87,0.77,75.35,24.65,3,10,0.0,0.61,39.0,EM_RISCO,0.7387,renda_muito_comprometida|endividamento_moderado|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000063,2025-07,5087.6,4798.53,94.32,74.37,2.56,75.24,0.0,4,6,0.0,0.32,18.0,EM_RISCO,0.9206,renda_muito_comprometida|endividamento_muito_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000064,2025-07,8013.35,7686.19,95.92,35.51,4.59,97.7,2.3,4,5,0.0,1.09,53.0,EM_OBSERVACAO,0.6078,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000065,2025-07,4914.97,4082.57,83.06,19.48,7.06,41.9,20.36,5,12,0.0,3.5,82.0,SAUDAVEL,0.7001,renda_comprometida|baixa_taxa_poupanca,baixo_endividamento|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000066,2025-07,3826.91,2802.26,73.23,12.6,20.66,27.32,29.09,4,12,0.0,7.56,95.0,SAUDAVEL,0.8432,renda_comprometida|gastos_nao_essenciais_em_atencao,baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000067,2025-07,4122.84,2361.63,57.28,0.23,19.72,22.76,17.52,2,4,0.0,11.8,100.0,SAUDAVEL,0.9266,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000068,2025-07,2321.46,2161.98,93.13,20.08,9.57,38.15,61.85,5,11,0.0,4.86,59.0,EM_OBSERVACAO,0.6988,renda_muito_comprometida|endividamento_moderado|gastos_nao_essenciais_altos,poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000069,2025-07,6030.49,4904.75,81.33,26.71,9.34,34.48,56.65,3,9,0.0,4.55,71.0,EM_OBSERVACAO,0.6491,renda_comprometida|endividamento_moderado|gastos_nao_essenciais_altos,poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000070,2025-07,13539.05,10045.96,74.2,20.98,20.5,60.62,39.38,5,8,0.0,7.29,81.0,SAUDAVEL,0.6639,renda_comprometida|endividamento_moderado|gastos_nao_essenciais_altos,boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000071,2025-07,5817.37,4266.24,73.34,25.28,9.27,45.42,9.03,3,6,0.0,4.78,81.0,SAUDAVEL,0.6628,renda_comprometida|endividamento_moderado,poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000072,2025-07,4552.31,4026.14,88.44,29.1,7.21,72.45,0.85,5,7,0.0,4.59,61.0,EM_OBSERVACAO,0.7223,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000073,2025-07,5771.12,5199.81,90.1,41.28,9.44,77.36,7.87,3,6,0.0,3.03,58.0,EM_OBSERVACAO,0.7166,renda_muito_comprometida|endividamento_alto,poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000074,2025-07,9485.02,9321.24,98.27,39.68,0.28,51.18,11.67,3,8,0.0,0.56,39.0,EM_RISCO,0.6734,renda_muito_comprometida|endividamento_moderado|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000075,2025-07,7129.82,6699.99,93.97,31.76,9.63,44.85,21.99,4,6,0.0,1.59,61.0,EM_OBSERVACAO,0.6847,renda_muito_comprometida|endividamento_moderado|reserva_baixa,poupanca_regular,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000076,2025-07,17146.67,12842.36,74.9,36.59,9.81,28.59,49.13,3,10,0.0,2.8,63.0,EM_OBSERVACAO,0.7382,renda_comprometida|endividamento_moderado|reserva_baixa|gastos_nao_essenciais_altos,poupanca_regular,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000077,2025-07,10966.95,11500.31,104.86,65.37,1.7,68.69,0.0,5,10,0.0,0.76,5.0,EM_RISCO,0.915,despesas_acima_da_renda|endividamento_muito_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000078,2025-07,4572.51,4395.5,96.13,40.08,10.43,31.01,29.21,3,8,0.0,0.66,38.0,EM_RISCO,0.7681,renda_muito_comprometida|endividamento_alto|sem_reserva_adequada|gastos_nao_essenciais_em_atencao,poupanca_regular,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000079,2025-07,5241.07,3237.86,61.78,27.17,19.98,42.0,39.17,3,7,0.0,17.03,91.0,SAUDAVEL,0.8058,endividamento_moderado|gastos_nao_essenciais_altos,despesas_controladas|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000080,2025-07,1383.45,1050.67,75.95,39.54,9.47,38.45,57.62,3,8,0.0,4.34,71.0,EM_OBSERVACAO,0.6071,renda_comprometida|endividamento_moderado|gastos_nao_essenciais_altos,poupanca_regular|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000081,2025-07,9264.56,4538.49,48.99,3.54,15.92,90.53,7.55,2,4,0.0,11.63,100.0,SAUDAVEL,0.8817,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000082,2025-07,6169.21,3982.92,64.56,29.94,9.64,40.2,22.49,4,10,0.0,2.83,83.0,SAUDAVEL,0.6756,endividamento_moderado|reserva_baixa,despesas_controladas|poupanca_regular,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000083,2025-07,1481.75,1551.03,104.68,42.82,1.15,19.77,36.7,1,5,0.0,0.12,5.0,EM_RISCO,0.9002,despesas_acima_da_renda|endividamento_alto|poupanca_insuficiente|sem_reserva_adequada|gastos_nao_essenciais_altos,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000084,2025-07,2751.04,2391.33,86.92,40.86,1.25,42.75,51.65,3,8,0.0,0.54,18.0,EM_RISCO,0.8961,renda_muito_comprometida|endividamento_alto|poupanca_insuficiente|sem_reserva_adequada|gastos_nao_essenciais_altos,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000085,2025-07,12644.37,11172.9,88.36,37.16,5.23,52.23,22.64,2,4,0.0,2.34,53.0,EM_OBSERVACAO,0.6393,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000086,2025-07,5773.06,4719.63,81.75,31.75,4.06,83.86,1.9,5,7,0.0,2.96,65.0,EM_OBSERVACAO,0.705,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000087,2025-07,14410.19,9058.79,62.86,27.64,4.2,34.1,36.09,4,9,0.0,3.22,73.0,EM_OBSERVACAO,0.6362,endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_altos,despesas_controladas|reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000088,2025-07,1461.64,1388.06,94.97,24.98,3.03,97.57,2.43,1,4,0.0,2.78,53.0,EM_OBSERVACAO,0.5975,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000089,2025-07,4637.29,4919.32,106.08,50.63,3.15,65.61,34.39,5,8,0.0,0.4,17.0,EM_RISCO,0.9758,despesas_acima_da_renda|endividamento_alto|baixa_taxa_poupanca|sem_reserva_adequada|gastos_nao_essenciais_em_atencao,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000090,2025-07,2987.73,2939.25,98.38,85.46,0.74,18.83,61.62,2,5,0.0,0.95,8.0,EM_RISCO,0.9411,renda_muito_comprometida|endividamento_muito_alto|poupanca_insuficiente|sem_reserva_adequada|gastos_nao_essenciais_altos,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000091,2025-07,5114.91,5618.49,109.85,52.71,1.02,54.9,45.1,2,4,0.0,0.49,5.0,EM_RISCO,0.9068,despesas_acima_da_renda|endividamento_alto|poupanca_insuficiente|sem_reserva_adequada|gastos_nao_essenciais_altos,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
